id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,tmdb_popularity,tmdb_score
tm84618,Taxi Driver,MOVIE,1976,R,113,"['crime', 'drama']",['US'],tt0075314,8.3,27.612,8.2
tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,"['comedy', 'fantasy']",['GB'],tt0071853,8.2,18.216,7.8
tm70993,Life of Brian,MOVIE,1979,R,94,['comedy'],['GB'],tt0079470,8.0,17.505,7.8
tm190788,The Exorcist,MOVIE,1973,R,133,['horror'],['US'],tt0070047,8.1,95.337,7.7
ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,"['comedy', 'european']",['GB'],tt0063929,8.8,12.919,8.3
tm14873,Dirty Harry,MOVIE,1971,R,102,"['thriller', 'crime', 'action']",['US'],tt0066999,7.7,14.745,7.5
tm185072,My Fair Lady,MOVIE,1964,G,170,"['drama', 'music', 'romance', 'family']",['US'],tt0058385,7.8,15.949,7.6
tm98978,The Blue Lagoon,MOVIE,1980,R,104,"['romance', 'drama']",['US'],tt0080453,5.8,44.038,6.2
tm119281,Bonnie and Clyde,MOVIE,1967,R,110,"['drama', 'crime', 'action']",['US'],tt0061418,7.7,15.309,7.5
tm67378,The Professionals,MOVIE,1966,PG-13,117,"['western', 'action', 'european']",['US'],tt0060862,7.3,12.155,7.1
tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,"['comedy', 'animation', 'action', 'fantasy', 'family']",['JP'],tt0079833,7.6,14.008,7.5
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,"['comedy', 'documentation']",['US'],tt0079807,8.1,4.681,7.5
tm96649,The Long Riders,MOVIE,1980,R,99,"['western', 'crime']",['US'],tt0081071,6.9,8.808,6.6
tm89386,Hitler: A Career,MOVIE,1977,PG,150,"['documentation', 'history', 'european']",['DE'],tt0191182,7.5,9.305,7.4
tm156453,FTA,MOVIE,1972,R,97,"['comedy', 'documentation', 'music']",['US'],tt0068562,6.2,2.466,6.1
ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,['comedy'],[],tt0202477,8.1,1.49,7.0
tm119776,Top Gun,MOVIE,1986,PG,110,"['drama', 'action']",['US'],tt0092099,6.9,112.137,7.0
ts20681,Seinfeld,SHOW,1989,TV-PG,24,['comedy'],['US'],tt0098904,8.9,128.743,8.3
tm111075,Stand by Me,MOVIE,1986,R,89,['drama'],['US'],tt0092005,8.1,16.096,7.9
tm180542,Once Upon a Time in America,MOVIE,1984,R,229,"['drama', 'crime', 'european']","['US', 'IT']",tt0087843,8.3,21.322,8.4
tm138875,When Harry Met Sally...,MOVIE,1989,R,96,"['romance', 'comedy', 'drama']",['US'],tt0098635,7.7,16.005,7.4
tm155792,Teenage Mutant Ninja Turtles,MOVIE,1990,PG,93,"['scifi', 'action', 'comedy', 'family']","['HK', 'US']",tt0100758,6.7,22.75,6.6
tm22327,Full Metal Jacket,MOVIE,1987,R,116,"['drama', 'war']","['GB', 'US']",tt0093058,8.3,36.502,8.1
tm54450,Christine,MOVIE,1983,R,90,"['horror', 'thriller', 'european']",['US'],tt0085333,6.7,19.311,6.8
tm2386,A Nightmare on Elm Street,MOVIE,1984,R,91,['horror'],['US'],tt0087800,7.4,53.853,7.3
ts22082,Knight Rider,SHOW,1982,TV-PG,51,"['action', 'scifi', 'crime', 'drama']",['US'],tt0083437,6.9,44.378,7.5
tm145608,Awakenings,MOVIE,1990,PG-13,120,"['drama', 'european']",['US'],tt0099077,7.8,13.761,7.8
ts21715,Thomas & Friends,SHOW,1984,TV-Y,10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",['GB'],tt0086815,6.5,49.384,6.6
tm41289,Annie,MOVIE,1982,PG,127,"['drama', 'family', 'comedy']",['US'],tt0083564,6.6,15.857,6.5
tm132694,Pet Sematary,MOVIE,1989,R,103,"['horror', 'fantasy', 'thriller']",['US'],tt0098084,6.5,32.854,6.6
ts20678,Saved by the Bell,SHOW,1989,TV-G,23,"['comedy', 'romance', 'family']",['US'],tt0096694,7.1,16.945,8.0
tm117580,She's Gotta Have It,MOVIE,1986,R,84,"['comedy', 'romance']",['US'],tt0091939,6.7,6.212,6.7
tm20712,Eddie Murphy Raw,MOVIE,1987,R,93,"['comedy', 'documentation']",['US'],tt0092948,7.6,9.727,7.3
tm130586,Endless Love,MOVIE,1981,R,116,"['drama', 'romance']",['US'],tt0082329,4.9,19.518,5.6
ts25028,Wheel of Fortune,SHOW,1983,TV-G,26,['family'],['US'],tt0072584,6.7,1440.855,6.7
ts23753,Major Dad,SHOW,1989,TV-PG,24,"['comedy', 'family']",['US'],tt0096643,6.4,7.506,6.3
ts2760,Fireman Sam,SHOW,1987,TV-Y,10,"['comedy', 'animation', 'family', 'crime', 'european']",['GB'],tt0329829,6.1,25.697,7.3
ts987,Danger Mouse,SHOW,1981,TV-Y,15,"['comedy', 'family', 'scifi', 'animation', 'european']",['GB'],tt0081848,7.4,7.748,7.4
tm21953,Sam Kinison: Breaking the Rules,MOVIE,1987,R,50,"['comedy', 'documentation']",['US'],tt0307403,7.2,1.791,7.2
tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,1982,R,77,"['comedy', 'documentation']",['GB'],tt0084352,7.9,7.641,7.4
tm11556,The Quick and the Dead,MOVIE,1995,R,107,"['western', 'thriller', 'action', 'romance']","['US', 'JP']",tt0114214,6.5,17.543,6.5
ts20981,Survivor,SHOW,2000,TV-PG,48,['reality'],['US'],tt0239195,7.4,73.107,7.3
ts22176,Stargate SG-1,SHOW,1997,TV-PG,44,"['scifi', 'drama', 'action']","['US', 'CA']",tt0118480,8.4,167.57,8.2
ts21223,Pokémon,SHOW,1997,TV-Y7,22,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",['JP'],tt0168366,7.6,138.135,7.6
tm122434,Forrest Gump,MOVIE,1994,PG-13,142,"['drama', 'romance', 'comedy']",['US'],tt0109830,8.8,57.114,8.5
tm106462,Happy Gilmore,MOVIE,1996,PG-13,92,"['comedy', 'sport']",['US'],tt0116483,7.0,16.583,6.6
